,Puesto,Colegio,Calendario,Evaluados,Promedio_Total,Matematica,DE_Matematica,Quimica,DE_Quimica,Fisica,DE_Fisica,Biologia,DE_Biologia,Filosofia,DE_Filosofia,Ingles,DE_Ingles,Lenguaje,DE_Lenguaje,Sociales,DE_Sociales,Municipio,Departamento,Jornada,Oficial
26,27,LA COMPAÑIA DE MARIA,A,77,65.4,76.3,12.4,62.3,7.0,63.9,8.6,63.8,7.2,54.7,6.6,78.7,10.5,62.2,7.4,61.6,6.6,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,NO
27,28,FUND.JOSE CELESTINO MUTIS,A,17,65.2,80.1,14.4,63.2,6.0,62.9,6.6,63.0,7.5,51.8,6.3,81.2,9.9,60.1,5.9,59.5,6.9,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,NO
28,29,CORAZONISTA,A,131,65.2,79.6,13.3,63.3,6.8,64.4,8.3,62.1,7.0,53.0,6.6,77.3,9.5,60.2,6.2,61.7,7.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
29,30,PHILADELPHIA,B,40,65.1,71.2,12.2,59.6,5.8,67.3,11.5,56.7,6.3,58.4,10.1,83.6,9.9,64.1,6.0,59.9,5.7,CALI,VALLE,COMPLETA U ORDINARIA,NO
30,31,HELVETIA,B,45,65.0,72.8,14.1,60.2,7.3,63.3,15.9,57.7,7.6,56.8,9.9,86.5,8.8,63.3,5.5,59.3,7.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
31,32,CORP.COL.INT. ALTAMIRA,B,54,64.8,69.2,11.0,59.7,7.0,66.3,9.6,56.7,7.9,59.3,12.0,87.2,6.9,62.2,5.9,57.7,5.6,BARRANQUILLA,ATLANTICO,MAÑANA,NO
32,33,SAN BONIFACIO DE LAS LANZAS,A,21,64.7,74.0,11.9,63.1,7.6,61.1,9.2,61.7,7.5,54.4,8.0,82.1,6.5,60.9,7.2,60.2,9.6,IBAGUE,TOLIMA,COMPLETA U ORDINARIA,NO
33,34,GIMNASIO LOS PORTALES,B,37,64.5,70.9,9.8,59.0,5.3,63.7,9.4,58.5,6.8,58.7,8.5,86.5,8.6,61.6,5.8,57.0,4.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
34,35,SAN PEDRO CLAVER,A,101,64.4,71.3,12.5,63.3,6.0,62.1,7.1,63.4,7.2,54.9,6.4,77.5,10.2,60.8,5.5,61.7,6.3,BUCARAMANGA,SANTANDER,COMPLETA U ORDINARIA,NO
35,36,ABRAHAM LINCOLN,B,60,64.3,71.5,14.9,57.7,6.1,66.6,12.3,58.6,9.3,58.2,7.7,82.8,9.1,61.1,5.0,58.4,6.2,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
36,37,ANGLO AMERICANO,A,187,64.3,72.3,12.2,61.4,7.0,61.8,8.7,61.8,8.5,54.6,7.8,78.6,8.2,61.8,7.1,62.2,7.5,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
37,38,GIMNASIO IRAGUA,B,66,64.3,67.4,12.1,59.9,7.1,63.8,10.4,58.5,6.2,62.1,11.3,85.7,8.5,61.7,6.7,55.4,5.7,BOGOTÁ D.C.,BOGOTA,MAÑANA,NO
38,39,EL ROSARIO,A,49,64.2,74.7,13.3,63.6,8.9,63.1,9.6,63.1,6.0,55.7,7.7,72.7,11.1,60.7,7.0,60.4,6.9,BARRANCABERMEJA,SANTANDER,MAÑANA,NO
39,40,BILINGÜE BUCKINGHAM,B,39,64.1,70.7,10.1,58.3,5.2,62.0,9.6,57.3,7.1,57.6,9.3,90.4,6.8,60.3,5.7,56.4,4.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
40,41,REYES CATOLICOS,B,47,64.1,69.0,11.9,60.5,8.5,63.9,10.1,59.7,6.9,60.3,15.1,78.5,11.8,62.0,6.7,59.0,7.5,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
41,42,BERCHMANS,B,120,64.1,67.3,12.3,60.6,7.4,67.3,13.2,59.0,8.9,60.4,11.7,76.8,13.6,61.8,6.3,59.4,7.1,CALI,VALLE,COMPLETA U ORDINARIA,NO
42,43,ALEMAN,B,53,64.0,67.5,13.9,59.2,9.0,65.6,14.6,59.0,10.3,57.8,10.3,83.1,11.1,62.3,6.5,57.7,8.2,CALI,VALLE,COMPLETA U ORDINARIA,NO
43,44,NUEVO COLOMBO AMERICANO,A,58,63.9,70.6,12.7,63.4,8.4,59.0,8.2,62.3,7.6,52.6,5.8,81.0,8.7,61.1,5.3,61.5,5.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
44,45,FUNDACION NUEVO MARYMOUNT,B,71,63.9,66.7,10.0,58.7,7.7,62.5,9.5,57.8,6.4,58.1,8.6,87.3,7.7,62.6,5.0,57.6,5.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
45,46,LICEO NAVARRA,A,55,63.8,72.2,10.1,60.5,5.9,62.6,8.9,61.4,6.5,53.1,6.2,80.4,8.6,60.3,6.3,60.2,7.7,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
46,47,LICEO FRANCES DE PEREIRA,B,40,63.8,69.8,9.5,57.8,4.6,63.6,9.8,58.6,7.0,58.2,8.3,80.6,12.7,63.5,5.6,58.4,5.4,PEREIRA,RISARALDA,COMPLETA U ORDINARIA,NO
47,48,CALASANZ,A,79,63.8,80.7,14.0,62.5,7.0,60.8,8.7,62.9,8.9,51.5,6.6,71.6,12.7,60.0,6.4,60.2,8.1,CUCUTA,NORTE SANTANDER,MAÑANA,NO
48,49,COLOMBUS AMERICAN SCHOOL,A,16,63.8,67.6,10.2,60.4,8.0,57.8,9.7,64.2,8.6,53.5,7.4,77.2,13.2,63.7,7.6,65.8,8.9,RIVERA,HUILA,COMPLETA U ORDINARIA,NO
49,50,ITALIANO GALILEO GALILEI,B,11,63.7,72.4,20.0,61.2,9.8,68.0,15.3,56.3,7.7,55.6,10.8,80.6,17.3,59.8,10.2,55.9,7.0,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,NO
50,51,COLOMBO HEBREO,B,17,63.6,70.7,15.7,57.5,6.0,66.8,13.5,58.3,7.4,56.5,7.7,84.8,10.8,58.3,7.6,56.4,7.2,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
51,52,ASPAEN GIMNASIO CANTILLANA,A,24,63.6,71.4,15.9,57.9,3.7,61.0,7.7,62.0,7.9,54.2,7.6,81.8,7.9,60.3,7.4,60.6,5.8,PIEDECUESTA,SANTANDER,COMPLETA U ORDINARIA,NO
52,53,LOS ALCAPARROS,B,53,63.6,73.0,14.7,57.6,7.6,62.8,13.7,55.8,6.8,56.9,13.1,86.5,8.2,59.9,5.7,56.3,7.3,LA CALERA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
53,54,MONTESSORI,A,59,63.5,74.4,10.4,58.0,4.9,60.1,7.1,59.5,8.6,51.2,7.0,85.1,8.2,57.9,6.8,61.6,6.5,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,NO
54,55,ANDINO,B,97,63.4,67.2,13.1,60.0,7.6,63.4,11.2,58.3,8.4,55.0,10.1,86.3,8.0,60.9,5.8,56.4,5.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
55,56,GIM. CAMPESTRE LOS CEREZOS,B,6,63.4,63.8,12.9,56.5,3.3,60.8,10.7,56.7,6.8,59.2,5.9,86.8,7.8,60.7,6.0,62.5,6.3,CAJICA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
56,57,ASPAEN GIMNASIO CARTAGENA,B,19,63.4,65.3,12.2,63.3,8.3,62.8,7.4,57.0,6.0,59.2,9.7,82.8,8.1,61.5,4.5,55.1,5.0,TURBACO,BOLIVAR,COMPLETA U ORDINARIA,NO
57,58,REAL (ROYAL SCHOOL),B,43,63.3,65.8,13.1,59.5,5.9,63.8,10.9,59.1,8.4,56.5,9.6,84.7,8.6,60.4,5.4,56.9,7.2,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,NO
58,59,LICEO FRANCES LOUIS PASTEUR,B,93,63.3,68.3,11.4,57.6,7.9,63.2,9.9,57.0,6.1,56.4,8.3,84.7,9.9,61.6,5.9,57.8,6.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
59,60,ASPAEN GIMNASIO,B,30,63.3,68.2,10.5,58.9,7.6,61.6,9.0,56.3,7.2,58.9,11.4,84.0,8.8,62.0,6.6,56.6,6.4,CARTAGENA,BOLIVAR,COMPLETA U ORDINARIA,NO
60,61,LICEO NUEVA GENERACION,A,15,63.3,72.1,12.6,61.9,7.8,62.0,7.4,64.9,6.3,50.7,5.8,70.9,12.8,59.1,6.8,64.5,11.6,BARRANCABERMEJA,SANTANDER,COMPLETA U ORDINARIA,NO
61,62,LEON DE GREIFF,B,40,63.2,71.9,10.1,60.8,6.9,67.6,8.7,57.9,6.5,59.8,11.2,71.3,11.4,60.0,6.1,56.6,6.1,CALI,VALLE,MAÑANA,NO
62,63,THEODORO HERTZL,A,13,63.2,71.9,17.0,59.7,8.3,64.4,8.9,60.6,8.7,48.2,9.9,83.9,7.8,57.7,8.7,59.4,10.0,RETIRO,ANTIOQUIA,COMPLETA U ORDINARIA,NO
63,64,GIMNASIO CAMPESTRE,B,54,63.2,69.1,14.9,59.1,8.3,64.3,11.7,57.2,8.9,55.8,11.9,83.6,12.1,60.2,7.9,56.1,6.6,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
64,65,ASOCIACION COL. GRANADINO,B,42,63.2,70.2,11.7,55.7,6.7,63.7,8.8,58.1,7.7,55.2,10.2,87.1,9.2,60.3,7.1,55.0,5.7,MANIZALES,CALDAS,COMPLETA U ORDINARIA,NO
65,66,INT.LOS CAÑAVERALES,B,14,63.2,66.3,18.8,57.1,9.4,64.1,20.2,56.1,8.1,58.1,13.2,81.1,9.6,64.8,9.6,57.4,9.6,YUMBO,VALLE,COMPLETA U ORDINARIA,NO
66,67,ASPAEN LICEO TACURI,B,15,63.1,67.1,10.8,61.0,6.0,64.2,8.0,57.7,6.1,58.4,8.0,78.7,10.4,61.9,5.5,56.0,7.6,CALI,VALLE,COMPLETA U ORDINARIA,NO
67,68,TANDEM,F(1),9,63.1,66.4,7.6,62.8,9.8,61.4,4.9,55.3,5.9,54.2,12.2,85.1,11.3,62.8,5.6,57.0,5.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
68,69,LICEO CERVANTES,A,94,63.1,75.0,11.6,60.9,6.2,60.7,7.5,59.8,7.1,52.4,6.7,77.1,9.8,59.0,5.8,59.9,6.6,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
69,70,CORP. ED. COL. BRITANICO,B,41,63.1,68.7,14.3,58.7,7.3,64.5,11.5,56.9,7.6,54.0,12.6,86.5,9.9,60.7,5.5,54.6,8.1,CARTAGENA,BOLIVAR,COMPLETA U ORDINARIA,NO
70,71,GIMNASIO FEMENINO,B,57,63.0,65.3,10.2,57.5,5.1,59.9,9.3,57.2,6.9,61.0,10.6,84.7,7.5,61.3,6.2,57.4,5.4,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
71,72,FUNDACION COL. UIS,A,82,63.0,72.1,13.6,60.9,8.3,63.7,10.8,64.1,10.2,50.1,6.5,73.4,12.5,60.0,7.2,59.6,8.0,FLORIDABLANCA,SANTANDER,COMPLETA U ORDINARIA,NO
72,73,BRITANICO DE MONTERIA,B,20,62.9,68.2,14.9,59.2,7.4,61.1,11.1,54.8,6.9,55.6,10.3,86.5,7.1,61.5,7.8,56.8,7.6,MONTERIA,CORDOBA,COMPLETA U ORDINARIA,NO
73,74,CARDENAL JOHN HENRY NEWMAN,B,40,62.9,67.9,12.6,58.9,6.8,61.5,10.0,56.6,6.5,55.9,9.6,86.7,7.5,59.1,6.6,56.9,6.4,CAJICA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
74,75,CAMPOALEGRE,B,26,62.9,65.3,12.9,56.9,5.8,65.7,13.4,56.6,8.3,56.4,9.6,84.7,7.3,60.9,6.9,56.9,7.0,SOPO,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
75,76,MARYMOUNT,B,88,62.9,67.4,14.0,57.4,6.8,63.7,11.2,56.6,7.9,53.2,10.4,88.4,8.1,59.1,5.3,57.3,7.0,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,NO
76,77,ALBANIA,B,40,62.9,68.6,14.4,59.8,6.3,63.6,9.7,57.1,7.5,55.4,10.1,84.5,9.2,57.4,7.6,56.5,6.8,ALBANIA,LA GUAJIRA,COMPLETA U ORDINARIA,NO
77,78,INSTITUTO ANTONIO NARIÑO,A,59,62.8,72.6,12.8,59.8,6.9,62.4,8.6,62.4,7.3,52.9,6.1,71.3,12.0,59.6,6.5,61.9,9.1,BARRANCABERMEJA,SANTANDER,MAÑANA,NO
78,79,BOLIVAR,B,92,62.8,69.2,13.6,55.7,6.9,61.9,11.9,54.3,7.9,55.7,12.1,87.1,8.4,61.3,6.5,56.8,7.7,CALI,VALLE,MAÑANA,NO
79,80,GIMNASIO LA COLINA,B,16,62.7,64.9,9.6,55.6,5.1,61.9,11.4,58.2,7.7,54.9,11.3,86.6,7.7,62.9,4.7,56.7,6.0,CALI,VALLE,MAÑANA,NO
80,81,GIMNASIO INGLES,B,39,62.7,67.6,12.0,58.6,9.5,61.5,11.2,57.1,9.2,53.7,13.6,87.0,7.2,61.0,6.4,55.1,7.5,SALENTO,QUINDIO,COMPLETA U ORDINARIA,NO
81,82,COLOMBO GALES EU,B,60,62.6,65.1,12.4,57.3,5.8,61.7,14.3,56.2,7.5,57.0,11.9,84.7,9.3,61.2,5.5,57.7,6.5,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
82,83,GIMNASIO BRITANICO,B,98,62.6,67.6,13.3,58.2,7.2,62.4,10.0,57.1,9.0,57.7,10.3,81.0,9.1,60.2,6.8,56.6,7.5,CHIA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
83,84,GIMNASIO FONTANA,B,56,62.4,64.3,11.7,57.8,7.3,60.4,10.1,58.6,7.5,56.5,8.1,84.1,8.1,60.3,6.2,57.5,6.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
84,85,ANGLO COLOMBIANO,B,123,62.4,66.2,11.3,57.4,7.6,61.2,11.0,58.3,8.0,52.5,11.9,88.9,7.9,59.6,6.6,55.3,6.7,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
85,86,NUEVA GRANADA,B,98,62.4,70.2,16.7,56.5,9.4,60.0,13.1,56.6,8.5,52.7,12.6,89.3,7.6,58.8,6.1,55.3,6.2,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
86,87,TANDEM,F(2),9,62.4,69.8,13.4,59.8,8.2,59.3,8.4,59.1,8.5,51.2,4.9,80.8,8.8,58.4,5.9,60.6,9.1,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
87,88,LICEO BENALCAZAR,B,47,62.4,68.0,14.6,59.2,7.4,64.6,10.5,56.6,5.7,57.4,9.6,73.6,11.7,61.5,6.7,58.2,5.8,CALI,VALLE,COMPLETA U ORDINARIA,NO
88,89,REFOUS,A,79,62.3,72.7,9.4,63.2,8.3,59.4,6.9,60.7,6.6,52.6,6.9,71.7,10.7,58.5,5.3,59.8,5.9,COTA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
89,90,LICEO FRANCES PAUL VALERY,B,44,62.2,66.2,12.3,56.7,7.9,63.6,12.3,56.8,8.2,55.7,9.1,80.4,10.0,60.6,4.8,58.0,6.3,CALI,VALLE,COMPLETA U ORDINARIA,NO
90,91,LICEO CAMPESTRE DE PEREIRA,B,19,62.2,69.8,12.4,57.9,4.6,66.3,12.4,55.2,7.7,53.4,9.6,80.2,14.0,59.8,6.6,55.4,8.0,PEREIRA,RISARALDA,COMPLETA U ORDINARIA,NO
91,92,THE ENGLISH SCHOOL,B,122,62.2,65.6,13.3,56.4,7.3,60.8,11.1,57.3,7.9,54.8,11.5,87.8,8.0,60.0,6.2,55.0,5.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
92,93,THE COLUMBUS SCHOOL,B,86,62.2,69.0,15.0,55.7,9.5,61.8,13.5,55.5,8.7,53.3,11.5,87.6,8.6,61.0,6.5,53.6,7.2,ENVIGADO,ANTIOQUIA,COMPLETA U ORDINARIA,NO
93,94,BILINGÜE CLERMONT,B,20,62.2,63.9,12.3,58.8,5.5,61.1,7.8,57.5,7.2,57.2,8.8,83.9,8.6,60.4,5.2,55.1,7.5,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
94,95,ASPAEN GIM. LOS ALCAZARES,A,34,62.2,71.4,10.5,58.8,6.1,58.2,7.2,60.6,8.2,51.7,7.6,78.9,10.3,57.7,6.2,60.2,5.8,SABANETA,ANTIOQUIA,COMPLETA U ORDINARIA,NO
95,96,SEMINARIO CORAZONISTA,A,27,62.1,73.6,14.3,59.1,8.5,65.9,9.6,59.1,9.0,50.7,12.0,72.0,10.5,56.9,6.7,59.4,9.9,MARINILLA,ANTIOQUIA,MAÑANA,NO
96,97,JEFFERSON,B,56,62.1,62.8,12.1,58.5,5.5,60.6,10.0,57.6,6.8,56.0,9.9,83.4,8.2,61.0,5.9,56.7,6.1,YUMBO,VALLE,COMPLETA U ORDINARIA,NO
97,98,BRITANICO INTERN.,B,61,62.1,63.5,11.6,56.6,7.8,61.4,9.3,57.1,8.0,56.7,11.9,86.1,7.9,59.8,6.2,55.2,6.8,BARRANQUILLA,ATLANTICO,MAÑANA,NO
98,99,GIMNASIO VERMONT,B,51,62.0,64.2,12.0,53.3,7.0,62.3,9.2,55.3,8.8,56.8,11.0,89.4,7.1,60.2,4.8,54.7,6.2,RETIRO,ANTIOQUIA,COMPLETA U ORDINARIA,NO
99,100,EL CAMINO ACADEMY,B,13,62.0,63.2,7.9,57.0,7.3,61.2,8.0,61.3,9.6,51.5,10.3,91.4,6.3,57.9,7.0,52.5,8.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
100,101,REUVEN FEUERSTEIN,A,26,62.0,68.2,11.9,61.9,8.3,58.9,8.2,59.6,8.2,51.4,7.8,80.3,10.5,59.3,5.4,56.3,9.6,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
101,102,LICEO JUAN RAMON JIMENEZ,A,51,61.9,66.7,14.5,60.2,7.0,59.5,7.6,62.7,9.0,54.8,6.9,72.1,13.1,58.5,5.0,60.7,6.0,BOGOTÁ D.C.,BOGOTA,MAÑANA,NO
102,103,SAN BARTOLOME LA MERCED,B,136,61.9,64.8,12.4,55.1,6.4,61.0,11.3,55.5,7.9,58.5,12.8,83.0,11.4,59.2,6.5,58.2,6.8,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
103,104,SANTA MARIA,B,69,61.8,65.8,11.9,55.9,5.1,59.1,8.8,55.8,7.2,55.8,9.1,84.8,7.8,62.2,5.9,55.3,5.3,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
104,105,LICEO MONTESSORII,B,3,61.8,59.0,10.4,56.7,5.0,65.0,16.1,61.3,10.4,58.3,4.6,66.0,19.2,63.3,2.5,64.7,5.0,PALMIRA,VALLE,COMPLETA U ORDINARIA,NO
105,106,TRINIDAD DEL MONTE,B,14,61.8,59.9,5.9,56.1,3.8,62.4,6.4,53.9,6.6,61.3,15.5,85.8,8.4,59.4,6.9,55.1,5.6,CHIA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
106,107,TILATA,B,40,61.7,64.5,11.8,56.0,6.7,57.7,9.8,54.6,6.7,59.6,13.3,85.7,8.2,59.4,4.9,56.5,7.9,LA CALERA,CUNDINAMARCA,COMPLETA U ORDINARIA,NO
107,108,SAN TARSICIO,B,24,61.7,62.5,12.0,57.3,7.2,60.1,10.9,58.3,8.5,55.1,16.6,85.1,8.6,58.1,5.5,57.3,6.9,BOGOTÁ D.C.,BOGOTA,COMPLETA U ORDINARIA,NO
108,109,GIMNASIO LOS PINARES,A,35,61.7,67.4,12.1,58.1,7.3,59.1,9.6,59.3,9.3,52.5,10.1,79.5,10.8,60.3,7.5,57.1,8.1,MEDELLIN,ANTIOQUIA,COMPLETA U ORDINARIA,NO
109,110,HEBREO UNION,B,11,61.7,64.6,6.7,54.9,6.9,63.6,6.3,54.3,7.1,54.2,8.5,85.9,8.0,61.1,4.6,54.7,5.4,BARRANQUILLA,ATLANTICO,COMPLETA U ORDINARIA,NO
110,111,CORAZONISTA,A,100,61.6,71.3,13.0,60.4,6.4,59.8,8.9,60.1,8.9,51.9,7.9,74.0,11.2,57.8,6.7,57.8,6.7,MEDELLIN,ANTIOQUIA,MAÑANA,NO
