codinst,nombre,cod_municipio,municipio,departamento,calendario,naturaleza,jornada,matematica,quimica,fisica,biologia,filosofia,ingles,lenguaje,sociales,de_matematica,de_quimica,de_fisica,de_biologia,de_filosofia,de_ingles,de_lenguaje,de_sociales,evaluados,periodo
000257,INSTITUTO FERRINI,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,TARDE,51.46,47.74,45.15,49.04,44.17,51.57,53.22,48.33,10.25,11.42,13.44,6.79,8.98,15.71,7.09,8.28,46,20132
000265,INSTITUTO FERRINI,05001,MEDELLIN,ANTIOQUIA,F,NO OFICIAL,NOCHE,42.42,41.07,39.87,43.98,37.96,42.40,45.75,42.54,8.93,6.99,10.36,7.01,9.15,9.32,7.46,7.15,134,20132
000265,INSTITUTO FERRINI,05001,MEDELLIN,ANTIOQUIA,F,NO OFICIAL,NOCHE,43.50,41.79,40.29,44.14,37.09,45.91,45.63,42.67,9.47,5.55,6.67,5.67,8.90,13.31,9.92,6.85,94,20131
000281,COMUNIDAD COLEGIO JESUS MARIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,64.45,60.58,57.17,58.23,55.11,76.36,59.14,59.98,10.16,12.28,11.36,9.00,11.94,15.82,5.83,8.40,66,20132
000315,COLEGIO DE LA INMACULADA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,53.76,50.15,51.32,50.60,45.78,56.06,55.63,54.08,11.49,7.17,9.27,6.39,7.62,13.11,6.25,8.36,115,20132
000349,COLEGIO LOS ALMENDROS,05266,ENVIGADO,ANTIOQUIA,A,NO OFICIAL,MAÑANA,46.42,41.37,39.58,43.11,37.11,45.47,44.79,44.32,8.90,6.50,8.89,7.85,8.46,13.66,8.31,6.25,19,20132
000356,COLEGIO MADRE ANTONIA CERINI,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,47.50,45.40,42.54,45.69,41.67,55.77,49.52,46.33,10.60,6.94,10.25,7.33,8.97,14.46,8.46,8.42,48,20132
000364,COLEGIO MARIA AUXILIADORA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,56.68,57.83,54.51,54.79,50.89,64.56,59.02,56.33,9.38,7.27,8.77,6.76,8.71,13.66,6.05,7.60,63,20132
000372,COLEGIO MARYMOUNT,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,64.70,57.35,55.46,54.19,53.16,90.89,59.42,58.21,9.85,7.07,8.55,5.79,7.56,6.94,6.96,9.52,57,20132
000380,COLEGIO MILITAR JOSE MARIA CORDOBA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,44.93,44.21,46.39,46.51,40.87,44.85,48.32,46.12,9.80,6.65,8.33,6.42,7.92,9.12,6.68,7.24,82,20132
000398,COLEGIO NUESTRA MADRE DE MERCEDES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,48.83,46.63,48.08,49.29,44.71,55.08,53.25,49.54,9.51,7.59,9.82,6.71,7.69,12.74,7.41,8.36,24,20132
000406,COLEGIO NUESTRA SEÑORA DEL ROSARIO DE CHIQUINQUIRA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,55.14,55.68,50.41,54.27,49.91,57.77,57.00,56.18,14.42,7.02,10.44,5.93,9.09,13.62,6.35,8.49,22,20132
000422,COLEGIO NUESTRA SEÑORA DE LA PROVIDENCIA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,49.54,49.54,49.69,48.54,45.92,60.92,55.92,50.85,9.79,3.73,9.20,6.94,6.38,16.12,7.04,7.69,13,20132
000430,COLEGIO PALERMO DE SAN JOSE,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,53.07,52.62,49.85,51.29,45.99,63.15,53.60,49.51,10.87,7.63,10.50,7.30,8.58,14.66,7.04,6.94,117,20132
000448,COLEGIO SAGRADOS CORAZONES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,51.95,48.65,53.70,52.45,51.40,53.25,54.95,53.05,7.47,6.78,9.02,8.57,12.22,10.59,7.71,7.63,20,20132
000455,COLEGIO SALESIANO EL SUFRAGIO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,55.59,51.90,50.92,51.27,46.04,56.47,54.71,52.78,11.95,9.67,11.02,6.26,9.45,14.38,6.58,8.40,101,20132
000463,COLEGIO SAN IGNACIO DE LOYOLA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,72.21,66.01,67.03,61.82,55.18,80.47,60.90,59.20,10.59,10.97,14.41,9.90,9.07,13.15,7.47,8.09,114,20132
000471,COLEGIO SAN JOSE DE LA SALLE,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,57.78,52.80,53.29,52.24,45.51,64.20,54.78,51.74,10.60,11.04,13.62,8.21,10.52,16.75,7.93,9.56,93,20132
000489,COLEGIO SAN JOSE DE LAS VEGAS,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,58.42,54.08,55.92,55.28,52.61,75.04,58.28,55.98,10.75,8.63,10.40,7.40,10.96,14.19,6.14,10.28,109,20132
000497,COLEGIO SAN JUAN BOSCO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,55.70,55.80,50.43,56.98,51.68,64.27,58.16,58.45,8.58,7.36,7.69,7.76,8.92,14.60,7.60,9.83,44,20132
000521,COLEGIO SANTA MARIA DEL ROSARIO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,52.85,51.47,49.60,49.26,46.60,61.57,53.32,48.57,9.59,8.33,9.92,7.38,9.02,15.49,6.25,7.81,47,20132
000554,COLEGIO SANTA TERESITA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,45.14,47.41,48.62,48.10,44.24,49.72,51.76,48.41,9.89,8.12,8.72,8.52,13.31,12.38,10.11,8.11,29,20132
000588,GIMNASIO LOS CEDROS,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,54.19,51.84,47.46,52.46,48.05,69.14,54.92,50.86,11.62,7.76,9.07,5.33,7.55,14.03,5.89,7.43,37,20132
000596,COLEGIO GIMNASIO LOS PINARES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,67.50,61.00,58.88,57.84,60.70,84.29,60.93,56.84,12.44,9.67,10.16,8.18,8.84,9.57,7.72,7.56,56,20132
000638,COLEGIO NUEVO CERVANTES CONOCER,05001,MEDELLIN,ANTIOQUIA,F,NO OFICIAL,MAÑANA,39.40,37.48,37.54,41.31,36.10,39.17,44.23,40.77,6.69,8.46,9.10,5.74,9.13,7.28,5.59,6.03,52,20132
000638,COLEGIO NUEVO CERVANTES CONOCER,05001,MEDELLIN,ANTIOQUIA,F,NO OFICIAL,MAÑANA,39.50,39.98,37.64,41.74,35.61,36.38,42.06,41.34,9.33,5.88,6.66,4.90,8.00,6.33,8.99,6.99,140,20131
000653,INSTITUTO COLOMBO VENEZOLANO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,55.02,52.94,52.66,52.26,46.08,55.86,55.46,49.78,10.46,8.49,13.48,7.95,10.05,13.83,6.03,8.49,50,20132
000687,INSTITUCION EDUCATIVA FEDERICO OZANAM,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,45.60,44.63,45.27,45.29,41.54,46.03,48.97,46.18,9.53,7.69,9.67,7.63,9.29,10.18,7.34,8.21,190,20132
000711,INSTITUCION EDUCATIVA SAMUEL BARRIENTOS,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,45.18,45.06,44.89,44.28,40.14,44.39,48.56,45.92,10.42,8.99,9.21,8.00,9.41,11.00,6.50,7.01,93,20132
000760,INSTITUTO JORGE ROBLEDO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,62.63,58.03,62.46,54.24,50.57,73.38,57.02,55.92,10.06,10.58,12.10,6.10,9.09,14.53,6.67,7.82,63,20132
000786,INEM JOSE FELIX DE RESTREPO,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,50.29,49.10,49.25,48.37,45.19,49.59,53.05,48.72,10.63,8.92,10.79,6.84,9.08,11.98,6.90,8.38,722,20132
000810,INSTITUCION EDUCATIVA FEDERICO OZANAM,05001,MEDELLIN,ANTIOQUIA,F,OFICIAL,NOCHE,41.66,39.58,37.93,42.69,34.66,41.05,45.44,41.44,7.05,7.09,9.74,5.53,9.75,7.06,6.79,6.96,59,20132
000836,INSTITUTO SALESIANO PEDRO JUSTO BERRIO,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,59.00,55.46,57.41,51.03,47.74,58.76,55.21,52.64,11.72,10.65,12.87,8.87,11.03,14.98,7.34,8.89,127,20132
000844,INSTITUTO SAN CARLOS,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,56.04,52.97,55.03,50.84,46.09,60.22,54.19,51.70,10.40,10.52,12.28,8.27,8.53,15.17,6.18,8.91,172,20132
000851,INSTITUTO TECNICO INDUSTRIAL PASCUAL BRAVO,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,TARDE,47.31,46.75,47.66,46.63,41.38,44.74,50.16,46.66,9.62,8.58,9.76,6.64,8.11,9.36,7.00,7.65,271,20132
000927,LICEO DEPARTAMENTAL MIXTO BENJAMIN HERRERA,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,42.60,41.86,39.43,43.77,37.17,44.83,45.06,40.60,7.48,5.84,10.60,6.71,9.40,8.58,7.48,5.04,35,20132
000935,LICEO DEPARTAMENTAL GILBERTO ALZATE AVENDAÑO,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,45.88,44.82,45.03,45.21,40.37,42.84,49.00,44.81,10.58,8.06,9.26,6.87,9.68,8.03,6.71,7.31,149,20132
000943,INSTITUCION EDUCATIVA LOLA GONZALEZ,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,45.29,46.10,45.65,45.67,43.15,44.99,50.65,46.51,8.54,8.13,10.38,6.46,8.41,8.17,6.23,6.85,247,20132
000968,INSTITUCION EDUCATIVA JOSE ROBERTO VASQUEZ BARRIO MANRIQUE,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,45.35,44.13,43.77,44.17,40.24,44.58,48.26,44.61,9.51,7.08,9.56,6.91,8.10,6.42,6.51,7.36,145,20132
000984,INSTITUCION EDUCATIVA LUCRECIO JARAMILLO VELEZ,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,TARDE,51.12,48.12,45.88,47.29,44.60,51.93,51.06,48.49,11.59,8.94,11.48,6.58,8.55,12.24,7.46,9.17,97,20132
000992,INSTITUCION EDUCATIVA MANUEL J. BETANCUR,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,48.07,48.12,46.40,47.89,40.92,46.70,50.16,46.52,8.78,7.89,10.85,8.13,8.79,9.17,6.42,7.78,98,20132
001016,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,MAÑANA,44.77,43.15,42.04,44.15,39.78,44.09,47.35,43.49,7.80,6.93,10.84,6.51,8.47,7.47,6.81,8.13,79,20132
001024,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,05001,MEDELLIN,ANTIOQUIA,F,OFICIAL,NOCHE,39.57,39.66,35.76,40.88,35.88,39.09,41.57,38.64,9.63,6.20,10.79,5.49,8.14,7.85,8.75,9.71,58,20132
001032,INSTITUCION EDUCATIVA CONCEJO DE MEDELLIN,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,51.20,49.02,50.01,48.37,44.51,49.63,51.76,49.04,9.73,8.36,10.32,7.07,9.92,12.14,7.00,7.65,224,20132
001057,INSTITUTION EDUCATIVA JAVIERA LONDOÑO,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,TARDE,44.35,44.40,43.54,45.00,43.24,47.31,50.44,46.05,7.81,6.86,8.86,7.50,8.84,9.04,6.86,6.03,239,20132
001073,LICEO SALAZAR Y HERRERA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,51.91,50.56,49.01,49.40,44.83,52.83,52.58,49.43,10.54,9.60,10.16,7.09,10.23,14.00,7.18,8.15,440,20132
001081,LICEO SAN RAFAEL,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,47.05,44.95,46.75,47.95,43.38,49.70,50.77,46.70,11.73,7.67,7.81,6.75,8.57,12.69,7.39,6.61,61,20132
001115,BACHILLERATO MASCULINO DE LA UNIVERSIDAD PONTIFICIA BOLIVARIANA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,57.91,55.42,55.64,52.31,49.33,61.89,54.85,53.57,11.04,9.55,11.54,8.09,10.01,16.02,7.11,9.23,332,20132
001123,ESCUELA NORMAL SUPERIOR ANTIOQUEÑA,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,48.93,52.83,51.88,49.05,46.80,55.39,55.63,51.79,10.44,8.86,8.03,7.55,9.78,13.80,7.62,8.65,82,20132
001131,COLEGIO LA ANUNCIACION,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,49.88,50.33,47.63,50.43,48.10,51.55,52.53,49.13,10.23,7.98,7.83,6.88,8.94,11.75,6.16,6.12,40,20132
001156,ESCUELA NORMAL NACIONAL DE VARONES ACADEMICO,05001,MEDELLIN,ANTIOQUIA,A,OFICIAL,TARDE,48.09,49.20,49.20,47.69,44.77,47.33,52.07,48.46,9.67,8.14,9.64,7.29,8.31,11.29,5.90,7.05,118,20132
001164,COLEGIO NUESTRA SEÑORA DE LOURDES,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,MAÑANA,47.03,47.56,45.53,46.42,39.67,44.86,51.52,46.82,9.91,7.55,9.72,6.12,7.53,9.96,6.85,6.62,66,20132
001198,SEMINARIO MENOR DE LA ARQUIDIOCESIS DE MEDELLIN,05001,MEDELLIN,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,45.92,47.58,52.50,46.00,38.50,48.25,49.83,47.50,14.26,9.42,5.71,5.33,11.49,6.48,8.27,8.53,12,20132
001206,ESCUELA NORMAL SUPERIOR,05002,ABEJORRAL,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,46.11,48.85,48.06,46.26,43.22,43.49,48.82,45.40,10.09,8.72,10.30,7.66,8.95,5.64,5.45,7.46,65,20132
001214,LICEO DEPARTAMENTAL MANUEL CANUTO RESTREPO,05002,ABEJORRAL,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,44.36,41.82,42.55,43.45,39.48,42.70,44.52,41.94,7.99,6.00,10.15,7.34,8.61,5.64,6.65,6.69,33,20132
001222,LICEO SAN FERNANDO,05030,AMAGA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,44.48,42.78,41.26,43.27,37.95,41.73,47.52,42.80,9.00,7.09,9.68,7.01,9.12,5.70,6.94,7.25,115,20132
001230,INSTITUCION EDUCATIVA EDUARDO FERNANDEZ BOTERO,05031,AMALFI,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,49.02,48.75,46.52,46.75,40.57,46.70,49.16,44.81,10.49,9.30,10.56,6.17,7.60,6.58,6.37,6.42,63,20132
001255,LICEO JUAN DE DIOS URIBE,05034,ANDES,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,45.24,46.55,47.07,45.76,41.72,43.76,48.66,43.93,7.78,7.88,8.03,6.68,6.16,5.70,5.35,8.30,29,20132
001263,INSTITUCION EDUCATIVA SAN JOSE,05036,ANGELOPOLIS,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,41.16,39.57,41.93,41.25,37.61,41.80,44.75,40.66,8.20,6.98,8.32,6.07,7.97,5.89,6.67,7.44,44,20132
001271,LICEO DEPARTAMENTAL JESUS MARIA URREA,05040,ANORI,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,41.24,40.30,41.18,42.79,35.09,39.52,44.73,41.55,8.24,5.51,8.30,5.97,8.36,4.49,6.16,6.59,66,20132
001289,INSTITUCION EDUCATIVA SAN LUIS GONZAGA,05042,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,A,OFICIAL,MAÑANA,43.41,43.64,41.57,44.43,38.50,43.02,46.47,44.04,9.29,7.22,10.03,6.55,8.30,6.08,6.45,8.07,129,20132
001297,INSTITUCION EDUCATIVA JOSE CELESTINO MUTIS,05045,APARTADO,ANTIOQUIA,A,OFICIAL,TARDE,42.92,43.55,43.75,43.04,38.83,41.26,46.34,43.01,8.39,6.16,9.64,6.90,8.05,5.95,6.25,6.51,155,20132
001313,INSTITUTO UNIBAN,05045,APARTADO,ANTIOQUIA,A,NO OFICIAL,TARDE,56.67,54.61,54.17,50.83,47.94,57.50,56.56,53.61,6.92,7.96,9.08,6.49,10.02,14.16,8.74,7.13,18,20132
001339,INSTITUCION EDUCATIVA SAN JUAN DE URABA,05659,SAN JUAN DE URABA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,42.60,42.49,44.78,43.26,37.82,40.52,46.08,42.38,8.72,7.12,10.44,6.55,8.26,5.16,6.35,6.70,73,20132
001347,LICEO DEPARTAMENTAL INTEGRADO SANTA TERESA,05055,ARGELIA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,43.95,38.75,40.20,40.20,36.18,41.52,45.34,42.50,6.39,8.12,9.85,5.96,9.60,5.53,7.70,6.34,44,20132
001388,COLEGIO LA SALLE,05088,BELLO,ANTIOQUIA,A,NO OFICIAL,MAÑANA,54.42,54.62,54.50,51.23,46.81,57.97,55.71,53.21,11.17,9.65,12.02,8.36,9.60,15.38,6.88,8.56,117,20132
001396,INSTITUCION EDUCATIVA FERNANDO VELEZ,05088,BELLO,ANTIOQUIA,A,OFICIAL,MAÑANA,45.27,45.20,44.26,46.23,41.31,44.72,50.37,48.23,9.71,7.78,10.07,6.72,8.58,7.95,6.14,7.69,137,20132
001412,INSTITUTO PARROQUIAL JESUS DE LA BUENA ESPERANZA,05088,BELLO,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,47.12,46.50,44.43,45.88,41.77,47.06,50.56,46.55,10.31,9.19,10.94,7.34,8.39,10.12,6.74,7.83,131,20132
001420,LICEO ATANASIO GIRARDOT,05088,BELLO,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,43.32,43.48,42.20,43.93,39.54,43.13,48.92,43.80,9.36,7.12,9.44,6.89,9.25,6.56,6.61,6.66,132,20132
001438,INSTITUCION EDUCATIVA SUAREZ DE LA PRESENTACION,05088,BELLO,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,45.41,47.39,46.19,47.93,43.02,55.75,53.07,48.31,10.53,8.24,11.41,7.31,9.23,15.16,7.56,7.55,59,20132
001446,COLEGIO THEODORO HERTZL,05607,RETIRO,ANTIOQUIA,A,NO OFICIAL,COMPLETA U ORDINARIA,66.44,65.75,67.81,57.56,52.38,85.75,59.19,58.81,10.27,13.33,14.46,8.22,7.31,9.46,7.82,10.15,16,20132
001453,COLEGIO PERLA DEL CITARA,05091,BETANIA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,42.54,42.87,43.49,42.65,38.33,42.32,45.60,42.34,7.57,6.48,9.68,6.69,8.06,7.75,6.41,6.24,91,20132
001461,LICEO SAN JOSE,05093,BETULIA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,46.86,43.55,43.18,44.88,40.13,41.73,49.13,45.50,9.81,6.06,10.70,5.72,10.00,4.98,6.60,7.43,56,20132
001479,INSTITUCION EDUCATIVA  SAN JOSE DEL CITARA,05101,BOLIVAR,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,43.33,44.31,44.69,45.52,40.28,43.83,49.07,43.54,8.43,6.72,9.78,5.86,7.84,6.35,6.28,6.81,54,20132
001487,INSTITUCION EDUCATIVA MONSEÑOR GERARDO PATIÑO,05120,CACERES,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,41.48,41.90,41.44,42.38,40.06,39.71,46.25,42.54,7.87,5.12,9.29,7.66,7.40,5.51,5.88,7.93,52,20132
001495,INSTITUCION EDUCATIVA JOSE MARIA BERNAL,05129,CALDAS,ANTIOQUIA,A,OFICIAL,MAÑANA,45.85,44.94,45.36,45.45,40.02,44.24,49.06,44.88,11.04,10.03,12.70,7.40,9.35,8.76,7.04,7.32,252,20132
001503,INSTITUCION EDUCATIVA PEDRO LUIS ALVAREZ CORREA,05129,CALDAS,ANTIOQUIA,F,OFICIAL,NOCHE,38.34,40.17,40.54,41.71,35.77,37.86,45.31,41.31,6.94,5.21,4.60,5.15,7.37,6.17,7.97,4.69,35,20131
001503,INSTITUCION EDUCATIVA PEDRO LUIS ALVAREZ CORREA,05129,CALDAS,ANTIOQUIA,F,OFICIAL,NOCHE,40.16,38.62,36.96,39.32,33.22,38.46,43.48,39.12,8.24,5.03,9.74,6.92,8.54,4.94,5.41,6.60,50,20132
001537,INSTITUCION EDUCATIVA NICOLAS GAVIRIA,05138,CAÑASGORDAS,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,44.09,43.14,41.87,44.99,38.16,39.59,46.87,42.97,8.89,6.41,11.87,6.73,9.74,5.46,7.30,5.65,69,20132
001552,LICEO DEPARTAMENTAL GABRIEL CORREA VELEZ,05142,CARACOLI,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,42.27,42.70,44.34,43.00,39.77,41.82,45.75,43.59,6.43,7.18,10.58,7.09,7.12,5.01,5.80,6.98,44,20132
001578,LICEO JUAN PABLO GOMEZ OCHOA,05145,CARAMANTA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,41.83,39.44,38.05,40.24,36.83,38.63,45.63,42.63,7.15,7.34,10.34,7.89,7.72,6.33,6.31,9.00,41,20132
001586,INSTITUCION EDUCATIVA FRAY JULIO TOBON B.,05148,CARMEN DE VIBORAL,ANTIOQUIA,A,OFICIAL,MAÑANA,47.90,47.21,46.30,46.53,43.03,46.46,50.72,48.13,8.47,8.29,10.76,7.02,8.33,10.28,6.36,7.57,182,20132
001594,INSTITUCION EDUCATIVA PRESBITERO JULIO TAMAYO,05150,CAROLINA,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,46.67,46.00,51.13,45.13,41.00,41.60,49.87,46.07,10.10,7.21,10.20,6.93,8.00,9.81,6.88,8.71,30,20132
001602,INSTITUCION EDUCATIVA LICEO CAUCASIA,05154,CAUCASIA,ANTIOQUIA,A,OFICIAL,MAÑANA,44.82,44.65,43.55,44.34,40.87,42.09,47.98,44.52,10.08,7.34,10.35,6.97,8.23,5.54,6.73,6.99,296,20132
001610,INSTITUCION EDUCATIVA CISNEROS,05190,CISNEROS,ANTIOQUIA,A,OFICIAL,COMPLETA U ORDINARIA,42.30,42.86,40.51,42.38,38.10,41.58,45.57,41.19,8.65,8.92,9.58,7.23,8.07,7.67,7.82,8.19,115,20132
001628,INSTITUCION EDUCATIVA LOS ANDES,05172,CHIGORODO,ANTIOQUIA,A,OFICIAL,TARDE,46.27,43.28,46.13,43.98,39.72,42.61,48.82,45.58,8.73,7.52,9.22,7.26,9.24,7.41,7.55,6.95,98,20132
